id;nombre;direccion;telefono;servicio_ofrecido
1;modulo;tackle;accurate;once across despite
2;silica delouse miser;which hm;loyally v;mmm aw finished
3;till;mmm nor intermarry;puzzle;lest gullible
4;cylindrical wide;yuck;a alongsi;though protrude dizzy
5;who so for;mediocre;woot;round
6;hydrate ew;hence;kookily g;under psst
7;edible;brr mangle;scratchy;when railing jeweller
8;highly;awkwardly;ah huzzah;raccoon honestly yippee
9;but boo;treasured;mmm ha gr;in generously nutritious
10;ripe yahoo yahoo;interleave etch underweight;pomegrana;snuffling
