id;nombre;descripcion
1;Displasia de cadera;panic harbour crisp
2;Obesidad;even boohoo aw
3;Problemas de oído;heavily
4;Problemas respiratorios;with
5;Problemas de piel;equatorial behind
6;Epilepsia;bah wherever
7;Cáncer;via genuine
8;Hipotiroidismo;vastly since ouch
9;Problemas oculares;blah woot decide
10;Enfermedades cardíacas;through until
11;Alergias alimentarias;due to foods
12;Artrosis;around or so
13;Gastritis;upside so
14;Dermatitis;season them so
15;Anemia;downside this
16;Luxación de rótula;follow inside
17;Pancreatitis;up to everyone
18;Diabetes;wrote each
19;Gingivitis;went near
20;Tumores mamarios;try none
21;Infecciones urinarias;before some
22;Cistitis;large always
23;Sordera;better or
24;Ceguera;except other
25;Hernias discales;under nor
26;Asma;few well
27;Panleucopenia;less during
28;Fiebre del arañazo del gato;very those
29;Leucemia felina;first why
30;Insuficiencia renal;along against
31;Infección del tracto respiratorio superior;home might
32;Peritonitis infecciosa felina;off better
33;Cáncer de piel;great them
34;Rinotraqueítis infecciosa felina;small tell
35;Virus de la leucemia felina;until mean
36;Diabetes felina;it's he
37;Asma felina;she blue
38;Enfermedad del corazón felino;cry alone
39;Infección por virus de la inmunodeficiencia felina;who back
40;Leucemia felina;in paper
41;Síndrome de la cola de gato;bad thank
42;Estomatitis felina;mainly which
43;Hipertiroidismo felino;quick we
44;Insuficiencia renal crónica;white around
45;Síndrome del intestino irritable;fine world
46;Hiperadrenocorticismo;live need
47;Otitis externa;insect food
48;Dolor lumbar;leave example
49;Insuficiencia pancreática exocrina;anyone once
50;Acromegalia;again sun
51;Enfermedad vestibular;Vesicula
52;HIDROCEFALIA;pepe
