id;n_identificacion_carnet;foto;fecha_nacimiento;dueno_id;raza_id;especie_id
1;20704;1captured_image.jpg;2024-04-17;1;2;2
2;12686;2captured_image.jpg;2024-04-18;1;2;2
3;28773;3captured_image.jpg;2024-04-18;1;3;2
4;2533;4captured_image.jpg;2024-04-18;1;4;2
5;24150;5captured_image.jpg;2024-04-18;1;5;2
6;16927;6captured_image.jpg;2024-04-18;2;31;1
7;23213;7captured_image.jpg;2024-04-18;3;31;1
8;25368;8captured_image.jpg;2024-04-18;4;31;1
9;13323;9captured_image.jpg;2024-04-18;5;31;1
10;1817;10captured_image.jpg;2024-04-18;1;61;3
