id;nombre;nombre_cientifico
1;Labrador Retriever;Canis lupus familiaris
2;Golden Retriever;Canis lupus familiaris
3;Bulldog Inglés;Canis lupus familiaris
4;Beagle;Canis lupus familiaris
5;Poodle;Canis lupus familiaris
6;Yorkshire Terrier;Canis lupus familiaris
7;Boxer;Canis lupus familiaris
8;Dachshund;Canis lupus familiaris
9;Chihuahua;Canis lupus familiaris
10;Schnauzer Miniatura;Canis lupus familiaris
11;Pug;Canis lupus familiaris
12;Shih Tzu;Canis lupus familiaris
13;Border Collie;Canis lupus familiaris
14;Bulldog Francés;Canis lupus familiaris
15;Rottweiler;Canis lupus familiaris
16;Pomeranian;Canis lupus familiaris
17;Shetland Sheepdog;Canis lupus familiaris
18;Doberman;Canis lupus familiaris
19;Husky Siberiano;Canis lupus familiaris
20;Cocker Spaniel;Canis lupus familiaris
21;Maltese;Canis lupus familiaris
22;Great Dane;Canis lupus familiaris
23;Basset Hound;Canis lupus familiaris
24;Dalmatian;Canis lupus familiaris
25;Australian Shepherd;Canis lupus familiaris
26;Bernese Mountain Dog;Canis lupus familiaris
27;Siberian Husky;Canis lupus familiaris
28;Alaskan Malamute;Canis lupus familiaris
29;Akita;Canis lupus familiaris
30;German Shepherd;Canis lupus familiaris
31;Siamese;Felis catus
32;Persa;Felis catus
33;Maine Coon;Felis catus
34;Sphynx;Felis catus
35;Bengala;Felis catus
36;Ragdoll;Felis catus
37;Siberiano;Felis catus
38;Birmano;Felis catus
39;Abisinio;Felis catus
40;British Shorthair;Felis catus
41;Angora;Felis catus
42;Manx;Felis catus
43;Savannah;Felis catus
44;Scottish Fold;Felis catus
45;Balines;Felis catus
46;Ruso Azul;Felis catus
47;Burmés;Felis catus
48;Rex Cornish;Felis catus
49;Rex Devon;Felis catus
50;Munchkin;Felis catus
51;Toyger;Felis catus
52;Selkirk Rex;Felis catus
53;Chartreux;Felis catus
54;Bombay;Felis catus
55;Tonkinés;Felis catus
56;Himalayo;Felis catus
57;Bosque de Noruega;Felis catus
58;Ocicat;Felis catus
59;Singapura;Felis catus
60;Sphynx;Felis catus
