raza_id;enfermedad_id
1;1
1;2
1;3
1;4
1;5
2;1
2;7
2;3
2;2
2;12
3;4
3;2
3;5
3;14
4;3
4;2
4;11
4;12
5;5
5;9
5;18
5;3
6;16
6;5
6;3
7;7
7;4
7;10
8;19
8;5
8;2
9;21
9;10
9;12
10;5
10;9
10;18
11;4
11;2
11;5
12;9
12;5
12;4
13;6
13;9
13;5
14;4
14;2
14;5
15;1
15;7
15;10
16;5
16;2
16;21
17;9
17;5
17;14
18;10
18;5
18;7
19;5
19;9
19;18
20;3
20;5
20;16
21;21
21;5
21;2
21;35
21;36
21;37
21;38
21;39
21;40
21;41
21;42
21;43
21;44
21;45
21;46
21;47
21;48
21;49
21;50
22;10
22;19
22;1
23;19
23;2
23;7
24;5
24;9
24;7
25;9
25;6
25;12
26;1
26;7
26;12
27;5
27;3
27;18
28;5
28;2
28;1
29;1
29;5
29;10
30;1
30;5
30;19
31;51
31;52
